INSERT INTO users (name, email) VALUES
('User1', 'user1@gmail.com'),
('User2', 'user2@gmail.com'),
('User3', 'user3@gmail.com'),
('User4', 'user4@gmail.com'),
('User5', 'user5@gmail.com'),
('User6', 'user6@gmail.com'),
('User7', 'user7@gmail.com'),
('User8', 'user8@gmail.com'),
('User9', 'user9@gmail.com'),
('User10', 'user10@gmail.com'),
('User11', 'user11@gmail.com'),
('User12', 'user12@gmail.com'),
('User13', 'user13@gmail.com'),
('User14', 'user14@gmail.com'),
('User15', 'user15@gmail.com'),
('User16', 'user16@gmail.com'),
('User17', 'user17@gmail.com'),
('User18', 'user18@gmail.com'),
('User19', 'user19@gmail.com'),
('User20', 'user20@gmail.com'),
('User21', 'user21@gmail.com'),
('User22', 'user22@gmail.com'),
('User23', 'user23@gmail.com'),
('User24', 'user24@gmail.com'),
('User25', 'user25@gmail.com'),
('User26', 'user26@gmail.com'),
('User27', 'user27@gmail.com'),
('User28', 'user28@gmail.com'),
('User29', 'user29@gmail.com'),
('User30', 'user30@gmail.com'),
('User31', 'user31@gmail.com'),
('User32', 'user32@gmail.com'),
('User33', 'user33@gmail.com'),
('User34', 'user34@gmail.com'),
('User35', 'user35@gmail.com'),
('User36', 'user36@gmail.com'),
('User37', 'user37@gmail.com'),
('User38', 'user38@gmail.com'),
('User39', 'user39@gmail.com'),
('User40', 'user40@gmail.com'),
('User41', 'user41@gmail.com'),
('User42', 'user42@gmail.com'),
('User43', 'user43@gmail.com'),
('User44', 'user44@gmail.com'),
('User45', 'user45@gmail.com'),
('User46', 'user46@gmail.com'),
('User47', 'user47@gmail.com'),
('User48', 'user48@gmail.com'),
('User49', 'user49@gmail.com'),
('User50', 'user50@gmail.com');
